1971
f12: l1 = 2.83; l2 = 3.48
f13: l1 = 2.88; l2 = 3.54
f14: l1 = 2.34; l2 = 3.19

2000
f1: l1 = 1.78; l2 = 2.74
f2: l1 = 2.14; l2 = 2.84
f3: l1 = 3.00; l2 = 3.82
f4: l1 = 2.25; l2 = 3.06
f5: l1 = 2.44; l2 = 3.23
f6: l1 = 2.54; l2 = 3.09
f7: l1 = 1.93; l2 = 2.43
f8: l1 = 2.26; l2 = 2.86
f9: l1 = 2.23; l2 = 2.92
f10: l1 = 1.72; l2 = 2.32
f11: l1 = 1.84; l2 = 2.36
f12: l1 = 1.69; l2 = 2.19
f13: l1 = 1.78; l2 = 2.37
f14: l1 = 2.27; l2 = 2.93

2001
f1: l1 = 1.72; l2 = 2.27
f2: l1 = 1.92; l2 = 2.55
f3: l1 = 2.44; l2 = 3.09
f4: l1 = 2.61; l2 = 3.43
f5: l1 = 2.04; l2 = 2.41
f6: l1 = 2.04; l2 = 2.58
f7: l1 = 2.28; l2 = 3.12
f8: l1 = 2.23; l2 = 2.86
f9: l1 = 2.22; l2 = 3.16
f10: l1 = 2.21; l2 = 2.84
f11: l1 = 1.84; l2 = 2.89
f12: l1 = 2.55; l2 = 3.53
f13: l1 = 1.77; l2 = 2.56
f14: l1 = 2.92; l2 = 4.29

2002
f1: l1 = 2.34; l2 = 3.36
f2: l1 = 2.65; l2 = 3.53
f3: l1 = 2.48; l2 = 3.21
f4: l1 = 2.30; l2 = 3.15
f5: l1 = 2.16; l2 = 3.37
f6: l1 = 3.34; l2 = 4.16
f7: l1 = 2.59; l2 = 3.38
f8: l1 = 3.03; l2 = 4.55
f9: l1 = 2.61; l2 = 3.75
f10: l1 = 2.89; l2 = 4.10
f11: l1 = 2.59; l2 = 3.62
f12: l1 = 2.30; l2 = 3.15
f13: l1 = 2.55; l2 = 3.65
f14: l1 = 2.94; l2 = 3.94

2003
f1: l1 = 1.65; l2 = 1.96
f2: l1 = 2.38; l2 = 2.79
f3: l1 = 2.77; l2 = 3.32
f4: l1 = 2.62; l2 = 3.26
f5: l1 = 3.22; l2 = 4.19
f6: l1 = 2.83; l2 = 3.83
f7: l1 = 2.58; l2 = 3.58
f8: l1 = 2.35; l2 = 2.94
f9: l1 = 2.11; l2 = 2.71
f10: l1 = 2.18; l2 = 2.65
f11: l1 = 2.07; l2 = 2.59
f12: l1 = 2.05; l2 = 2.65
f13: l1 = 2.10; l2 = 2.63
f14: l1 = 2.04; l2 = 2.76

2004
f1: l1 = 1.69; l2 = 2.11
f2: l1 = 1.74; l2 = 2.29
f3: l1 = 2.25; l2 = 2.83
f4: l1 = 1.66; l2 = 2.10
f5: l1 = 1.86; l2 = 2.35
f6: l1 = 2.27; l2 = 2.86
f7: l1 = 1.84; l2 = 2.56
f8: l1 = 2.18; l2 = 2.72
f9: l1 = 2.19; l2 = 2.97
f10: l1 = 1.84; l2 = 2.34
f11: l1 = 2.26; l2 = 3.10
f12: l1 = 2.51; l2 = 3.41
f13: l1 = 2.35; l2 = 3.18
f14: l1 = 1.89; l2 = 2.36

2005
f1: l1 = 2.04; l2 = 2.63
f2: l1 = 2.58; l2 = 3.36
