1971
f6: l1 = 1.73; l2 = 2.40
f7: l1 = 1.35; l2 = 1.81
f8: l1 = 1.52; l2 = 2.14
f9: l1 = 1.40; l2 = 1.89
f10: l1 = 1.37; l2 = 2.09
f11: l1 = 2.17; l2 = 3.00
f12: l1 = 2.06; l2 = 2.87
f13: l1 = 2.07; l2 = 2.67
f14: l1 = 1.49; l2 = 2.07

2009
f1: l1 = 1.97; l2 = 2.91
f2: l1 = 1.59; l2 = 2.18
f3: l1 = 1.63; l2 = 1.99
f4: l1 = 1.76; l2 = 2.23
f5: l1 = 2.24; l2 = 2.75
f6: l1 = 1.66; l2 = 2.10
f7: l1 = 1.44; l2 = 1.75
f8: l1 = 2.27; l2 = 2.68
f9: l1 = 2.21; l2 = 2.53
f10: l1 = 2.07; l2 = 2.44
f11: l1 = 2.02; l2 = 2.54
f12: l1 = 1.86; l2 = 2.29
f13: l1 = 2.23; l2 = 2.63
f14: l1 = 2.00; l2 = 2.59

2010
f1: l1 = 3.41; l2 = 4.07
f2: l1 = 3.32; l2 = 3.96
f3: l1 = 2.99; l2 = 3.72
f4: l1 = 2.85; l2 = 3.80
f5: l1 = 2.26; l2 = 2.77
f6: l1 = 3.13; l2 = 3.84
f7: l1 = 2.44; l2 = 2.92
f8: l1 = 3.30; l2 = 4.27
f9: l1 = 3.23; l2 = 4.16
f10: l1 = 3.36; l2 = 4.27
f11: l1 = 2.82; l2 = 3.23
f12: l1 = 3.23; l2 = 3.75
f13: l1 = 2.91; l2 = 3.48
f14: l1 = 2.77; l2 = 3.25

